67912;Robert Friman International AB
67932;H1 Communication AB
67957;Vestum AB
67981;Senzime AB
68002;Ework Group AB
68005;Ngage Group AB
68030;Hexpol AB
68049;Hammarby Bandy AB
68063;Moberg Pharma AB
68069;DGC One AB
68190;Genovis AB
68264;Hexatronic Group AB
68332;Axichem AB
68433;Abliva AB
68437;Mavshack AB
68465;Cloetta AB
68594;Heba Fastighets AB
68602;Ortivus AB
68674;GHP Specialty Care AB
68677;Wonderful Times Group AB
68735;SkiStar AB
68749;Tigran Technologies AB
68758;Atrium Ljungberg AB
68760;ACROUD AB
68774;Bure Equity AB
68865;Assa Abloy AB
69481;AdTail AB
69482;Clinical Laserthermia Systems AB
70009;CWS Comfort Window System AB
70302;Cardo AB
70465;Getinge AB
70474;Acando AB
70481;Meda AB
70514;EXINI Diagnostics AB
70528;Botnia Exploration Holding
70530;Dignitana AB
70541;Arctic Minerals AB
70580;Everysport Group AB
70721;Mineral Invest International AB
70777;Junebud AB
70778;Agrokultura AB
70782;Eniro Group AB
70816;Rasta Group AB
70817;Consensus Asset Management AB
70827;BrightBid Group AB
71023;Smart Energy Sweden Group AB
71153;SensoDetect AB
71229;Micropos Medical AB
71389;Ironroad AB
71495;Brandworld Sverige AB
71520;Svolder AB
71576;Hartelex AB
71583;Scania AB
71584;Betsson AB
71590;Swedish Match AB
71596;Medivir AB
71597;MedCore AB
71603;Pricer AB
71615;Tele2 AB
71626;Ekomarine AB
71636;Northbaze Group AB
71661;Layerlab AB
71666;Syncro Group AB
72041;Arise AB
72132;Parans Solar Lighting AB
72203;EcoRub AB
72383;Mabi Rent AB
72387;Safe Lane Gaming AB
72392;Adoperator AB
72396;Lyyn AB
72412;Nischer Properties AB
72419;Telia Co AB
72440;BioPhausia AB
72469;PharmaLundensis AB
72515;MQ Holding AB
72645;Kopy Goldfields AB
72659;Softronic 1 AB
72671;Duroc AB
72759;Pallas Group AB
72905;Fagerhult Group AB
72911;Mertiva AB
72930;Entraction Holding AB
73061;Zinzino AB
73063;Episurf Medical AB
73113;Opsy Holding AB
73170;Abelco Investment Group AB
73207;Novacast AB
73227;ContextVision AB
73228;Alfa Laval AB
73263;Business Control Systems Sverige AB
73330;Castellum AB
73334;Multiq International AB
73363;Biolin Scientific AB
73364;Feelgood Svenska AB
73391;Semcon AB
73395;Saki AB
73407;SRAB Holding AB
73408;Modern Times Group MTG AB
73409;Partnertech AB
73414;Nibe Industrier AB
73419;Rorvik Timber AB
73420;Lammhults Design Group AB
73421;Industrial & Financial Systems
73422;Klovern AB
73423;Profilgruppen AB
73432;Firefly AB
73433;Traction AB
73439;Rizzo Group AB
73440;Axfood AB
73456;Corem Property Group AB
73467;Umida Group AB
73526;Binero Group AB
73583;Boliden AB
73730;Svedbergs Group AB
73743;Proact IT Group AB
73746;Husqvarna AB
73806;Duni AB
73854;Artimplant AB
73856;CTT Systems AB
73861;KNOW IT AB
73930;New Wave Group AB
73958;Labs2 Group AB
73964;Slottsviken Fastighetsaktiebolag AB
73980;JLT Mobile Computers AB
73983;Nordea Bank AB
74140;Karo Pharma AB
74153;ADDvise Group AB
74178;Hedson Technologies International AB
74182;Exeotech Invest AB
74186;Mysafety Group AB
74187;Saab AB
74195;Nordic Service Partners Holding AB
74200;Prevas AB
74205;Medirox AB
74207;BioGaia AB
74214;Avalon Innovation AB
74217;Skane-Mollan AB
74292;Cision AB
74293;Accelerator Nordic AB
74295;Sweco AB
74303;3L System AB
74304;Nordic LEVEL Group AB
74309;IDL Biotech AB
74313;Stille AB
74314;Tagmaster AB
74316;Vitec Software Group AB
74317;Obducat AB
74318;Glycorex Transplantation AB
74326;Softronic AB
74327;Petrosibir AB
74328;Countermine Technologies AB
74329;Trention AB
74350;Probi AB
74358;Arcam AB
74359;IAR Systems Group AB
74360;Proffice AB
74361;Micro Systemation AB
74369;Arbona AB
74370;Mycronic AB
74375;Fingerprint Cards AB
74388;Betting Promotion Sweden AB
74503;PA Resources AB
75185;ReadSoft AB
75329;Swedish Orphan Biovitrum AB
75562;SAS AB
75565;BTS Group AB
75570;Sigma AB
75578;BioInvent International AB
75589;Lagercrantz Group AB
75590;AddTech AB
75598;AQ Group AB
75599;Coala-life Group AB
75671;ICM Kungsholms AB
75679;Orron Energy ab
75747;Axlon Group AB
75762;Neobo Fastigheter AB
75763;Staevrullen Finans AB
75778;Cellavision AB
75790;Indutrade AB
75830;Elverket Vallentuna AB
75877;ACAP Invest AB
75897;Systematisk Kapitalforvaltning i Sverige AB
75923;LifeAssays AB
76261;Rejlers AB
76263;Isconova AB
76265;Suntrade Group AB
76271;Brinova Fastigheter AB
76272;One Media Holding AB
76280;Sotkamo Silver AB
76337;Net Insight AB
76345;Sectra AB
76363;HIQ International AB
76369;Malmbergs Elektriska AB
76371;Sagax AB
76373;Jeeves Information Systems AB
76374;Aqua Terrena International AB
76391;Image Systems AB
76392;Allgon AB
76421;Hifab Group AB
76425;Midsona AB
76429;Addnode Group AB
76430;A-Com AB
76440;PION Group AB
76447;Fastighets AB Balder
76448;Novotek AB
76449;Kindwalls Bil AB
76742;Vitrolife AB
76750;Note AB
76851;Vivesto AB
76888;Petrotarg AB
76937;Altero AB
77032;Aspiro AB
77061;Klick Data AB
77064;Tethys Oil AB
77067;Selena Oil & Gas Holding AB
77080;Sileon AB
77134;OraSolv AB
77165;Studsvik AB
77166;Kopparbergs Bryggeri AB
77168;Precise Biometrics AB
77170;Nordnet AB
77171;CyberCom Group AB
77173;Clas Ohlson AB
77189;European Institute of Science AB
77190;Sensori AB
77191;Bredband2 i Skandinavien AB
77193;Availo AB
77194;NFO Drives AB
77195;Precio Fishbone AB
77197;Hammar Invest AB
77198;Anoto Group AB
77199;NGS Group AB
77200;Aerocrine AB
77204;Bringwell AB
77207;Connecta AB
77208;MEKO AB
77209;Sensys Gatso Group AB
77210;Metro International SA
77213;Human Care AB
77214;Forsstrom High Frequency AB
77216;Starbreeze AB
77217;Avensia AB
77218;Dagon AB
77219;Ependion AB
77220;NetOnNet AB
77221;Kakel Max AB
77225;Genesis-IT AB
77226;AB Sperrung
77227;Hydropulsor AB
77228;Orc Group AB
77247;ITAB Shop Concept AB
77248;ICA Gruppen AB
77334;A+ Science Holding AB
77336;Cellpoint Connect AB
77343;Lappland Goldminers AB
77350;Eurovip Group AB
77373;Orexo AB
77434;Cassandra Oil AB
77500;HMS Networks AB
77561;Impact Coatings AB
77563;Hansa Biopharma AB
77575;KappAhl AB
77587;Uniflex AB
77603;Creative Antibiotics Sweden AB
77621;Xezzex AB
77625;Kungsleden AB
77632;Cortus Energy AB
77648;Bjorn Borg AB
77663;FormPipe Software AB
77691;Medcap AB
77695;Clean Oil Technology AB
77701;Seafire AB
77884;Auriant Mining AB
77916;Catena AB
77920;Russian Real Estate Investment Co AB
77960;HQ AB
77962;Wihlborgs Fastigheter AB
77996;HomeMaid AB
78105;Trimera AB
78106;Allokton AB
78121;Trustbuddy AB
78123;AAK AB
78152;Servage AB
78195;Aqeri Holding AB
78205;Q-Med AB
78216;Caperio Holding AB
78219;QUIA PHARMA AB
81169;Bluelake Mineral AB
81412;Consafe Offshore AB
81437;Global IP Solutions Holding AB
81526;Artema Medical AB
81529;Riddarhyttan Resources AB
81530;Check Point Holding AB
81537;Arete AB
81540;AcadeMedia AB
81541;Dial NXT Group AB -DNG
81546;Pronyx AB
81562;Vision Park Entertainment AB
81579;Mogul AB
81580;ScanMining AB
81589;Diffchamb AB
81600;All Cards Service Center AB
81603;Friluftsbolaget Ekelund & Sagner AB
81605;Covial Device AB
81606;Jello AB
81607;SnoWolverine Group AB
81608;Wayfinder Systems AB
81611;Travelpartner AB
81612;Carl Lamm AB
81615;Cell Network AB/Old
81618;Hoist International AB
81620;LB Icon AB
81623;Catech AB
81629;Global Gaming Factory AB
81630;Carl Lamm Holding AB
81632;Autoliv AB
81633;Kalmar Industries AB
81634;Fazer Konfektyr Service AB
81635;Europolitan Vodafone AB
81636;Norrporten Fastighetsab
81637;Senea AB
81638;Nordifagruppen AB
81639;Verimation AB
81640;Spira AB
81641;Provobis Hotel & Restaurant
81642;Hemstaden Bostadsaktiebolag
81643;Stadshypotek AB
81644;Monark Stiga AB
81645;Finnveden AB
81646;Klippan AB
81647;Kjessler & Mannerstrale AB
81649;Intelligent Micro Systems Data AB
81650;Fagerlid Industrier AB
81651;Segerstrom & Svensson AB
81652;Ledstiernan AB
81653;Althin Medical AB
81654;Caran AB
81655;IRO AB
81657;Toyota Material Handling Europe AB
81658;Nefab AB
81659;Realia AB
81660;Enator AB
81661;Fastighets AB Tornet
81662;Nackebro AB
81663;Dahl International AB
81667;Benima Ferator Engineering
81669;FME Europe AB
81674;Lawson International AB
81675;Biacore International AB
81676;Peak Performance
81677;Resco
81678;Diligentia AB
81679;Scandic Hotels AB
81680;SalusAnsvar AB
81681;Gylling Optima Batteries AB
81683;Mandator AB
81684;Enaco AB
81685;Gibeck Louis AB
81686;Biora AB
81687;Teleca AB
81688;Entra Data AB
81690;Gorthon Lines AB
81691;Svenska Orient Linien
81692;NK Cityfastigheter AB
81693;Sardus AB
81694;Ecta Resurs AB
81695;inWarehouse AB
81697;Zodiak Television AB
