date;World;Asia;Americas;Europe
2023-08;135.494;131.614;139.384;127.581
2023-09;136.065;131.994;140.282;127.877
2023-10;136.596;132.524;140.73;128.215
2023-11;136.863;132.63;141.253;128.22
2023-12;137.421;132.888;142.373;128.527
2024-01;138.228;133.6;143.298;128.973
2024-02;139.493;134.652;144.658;129.642
2024-03;139.984;134.536;145.915;130.162
2024-04;140.683;134.985;146.851;130.774
2024-05;141.127;135.387;147.322;131.073
2024-06;141.559;135.729;147.644;131.399
2024-07;142.418;136.768;148.201;131.943
2024-08;142.914;137.351;148.478;132.142
2024-09;143.228;137.678;148.833;132.028
2024-10;143.85;138.277;149.273;132.619
2024-11;143.993;138.195;149.476;132.974
2024-12;144.311;138.313;149.762;133.565
2025-01;144.818;138.74;149.86;134.321
2025-02;145.234;138.719;150.79;134.974
2025-03;145.686;138.977;151.392;135.408
2025-04;146.23;139.414;151.965;136.015
2025-05;146.51;139.638;152.405;136.172
2025-06;146.84;139.868;152.92;136.53
2025-07;147.446;140.623;153.293;137.055
2025-08;147.888;141.218;153.675;137.154
2025-09;148.324;141.739;154.157;137.104
2025-10;148.919;142.457;154.589;137.487
2025-11;149.038;142.699;154.414;137.475
2025-12;149.334;143.022;154.611;137.69
