month,GPR,GPRT,GPRA,SHARE_GPR,N10,GPR_NOEW,GPR_AND,GPR_BASIC,SHAREH_CAT_1,SHAREH_CAT_2,SHAREH_CAT_3,SHAREH_CAT_4,SHAREH_CAT_5,SHAREH_CAT_6,SHAREH_CAT_7,SHAREH_CAT_8,GPRC_DEU,GPRC_FIN,GPRC_NOR,GPRC_SWE
1985-01-01,102.17337799072266,107.57417297363281,89.64749145507812,3.0645718574523926,11584,39.9443473815918,45.16582489013672,67.72432708740234,0.31825634837150574,0.06750892102718353,0.8101070523262024,0.9837014079093933,0.09644131362438202,0.26039156317710876,0.7908188104629517,0.617224395275116,0.26761049032211304,0.09495856612920761,0.07769337296485901,0.07769337296485901
1985-02-01,117.10202026367188,126.4427261352539,96.60166931152344,3.5123393535614014,10819,41.48124694824219,47.01603698730469,80.75315856933594,0.39102697372436523,0.06174109876155853,0.936406672000885,1.1627906560897827,0.24696439504623413,0.33957603573799133,0.5968306064605713,0.7408931851387024,0.49912190437316895,0.05545799061655998,0.05545799061655998,0.10167298465967178
1985-03-01,124.77815246582031,127.07085418701172,116.98727416992188,3.7425758838653564,12291,44.1031608581543,49.9867057800293,78.81877899169922,0.3923666775226593,0.09809166938066483,0.9987515807151794,1.2395219802856445,0.16943107545375824,0.4280363917350769,0.7936508059501648,0.5617977380752563,0.3254413902759552,0.0406801737844944,0.01627206988632679,0.01627206988632679
1985-04-01,87.92900085449219,94.64019775390625,73.75779724121094,2.6373283863067627,12816,39.99007034301758,45.0976676940918,73.73504638671875,0.2830856442451477,0.06192498281598091,0.964260458946228,0.5042462944984436,0.18577495217323303,0.38039630651474,0.41578203439712524,0.46886056661605835,0.3433208465576172,0.007802746724337339,0.04681647941470146,0.031210986897349358
1985-05-01,103.26284790039062,111.15978240966797,92.27672576904297,3.0972492694854736,13851,46.691978454589844,44.09930419921875,90.75249481201172,0.31735697388648987,0.07323622703552246,1.0822687149047852,0.5533403754234314,0.21970868110656738,0.309219628572464,0.5370656847953796,0.7242249250411987,0.5270377397537231,0.07941664755344391,0.05053786560893059,0.07941664755344391
1985-06-01,148.78282165527344,134.65670776367188,174.1437530517578,4.462568283081055,12997,59.20018768310547,52.5393180847168,77.96695709228516,0.19365160167217255,0.10103561729192734,0.959838330745697,0.6651511192321777,1.2545255422592163,0.24416939914226532,0.7240885496139526,1.8354803323745728,0.40778639912605286,0.14618758857250214,0.04616449773311615,0.06924674659967422
1985-07-01,133.90542602539062,126.30107879638672,149.5423583984375,4.016337871551514,11752,55.07017517089844,50.664119720458984,85.21527862548828,0.24287715554237366,0.06539000570774078,0.8313872218132019,0.6632415056228638,0.9154600501060486,0.38299858570098877,0.5418028831481934,1.6160672903060913,0.47651463747024536,0.05105514079332352,0.02552757039666176,0.06807351857423782
1985-08-01,82.78410339355469,75.26383972167969,84.87953186035156,2.483013153076172,11921,41.96369171142578,38.847408294677734,73.7867431640625,0.06473090499639511,0.07397817820310593,0.721287190914154,0.3976326882839203,0.09247271716594696,0.21268725395202637,0.5733308792114258,0.6473090648651123,0.16777116060256958,0.033554233610630035,0.025165673345327377,0.050331346690654755
1985-09-01,102.43449401855469,101.56950378417969,92.48631286621094,3.072403907775879,12596,42.96523666381836,42.96359634399414,79.50538635253906,0.23455825448036194,0.026062028482556343,1.025106430053711,0.860046923160553,0.12162279337644577,0.25193291902542114,0.5646772384643555,0.5994266271591187,0.28580501675605774,0.01587805710732937,0.055573198944330215,0.04763416945934296
1985-10-01,105.99191284179688,91.34220886230469,118.73129272460938,3.1791045665740967,13400,49.08686828613281,43.43147277832031,82.49687194824219,0.2463863343000412,0.04927726835012436,0.7391589879989624,0.8952036499977112,0.2710249722003937,0.22174769639968872,0.3613666296005249,1.3797634840011597,0.35820895433425903,0.03731343150138855,0.0746268630027771,0.03731343150138855
1985-11-01,94.84818267822266,98.25837707519531,80.12213897705078,2.8448612689971924,12795,42.04536437988281,44.62215805053711,73.62380981445312,0.34328871965408325,0.042911089956760406,0.6951596140861511,1.0641950368881226,0.17164435982704163,0.26604875922203064,0.4376930892467499,0.6608307361602783,0.28917545080184937,0.08597107976675034,0.01563110575079918,0.04689331725239754
1985-12-01,96.4211654663086,80.3045654296875,111.21063232421875,2.892040967941284,12690,45.17805099487305,40.681339263916016,89.45426940917969,0.19451962411403656,0.08457374572753906,0.524357259273529,0.6681326031684875,0.17760486900806427,0.2537212371826172,0.37212449312210083,1.1586602926254272,0.30732861161231995,0.03152088075876236,0.10244286805391312,0.07092198729515076
