Model,Mean R²,Mean CV R²,Mean CV RMSE,Mean antal variabler,Mean antal valda variabler
OLS current,0.5630394828669192,-20.67967384236655,0.5156952464518014,6.0,
OLS lagged,0.6567550412518973,-116.58718124794053,1.0475599562267315,18.0,
Elastic Net,0.49207564065592985,-16.01257124419215,0.44607981309557093,18.0,7.818181818181818
