Company_number,Date,1_month,3_month,6_month,12_month,24_month,36_month,60_month,Sector
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics
