Company_number,Date,1_month,3_month,6_month,12_month,24_month,36_month,60_month,Sector,1_month_correlation,3_month_correlation,6_month_correlation,12_month_correlation,24_month_correlation,36_month_correlation,60_month_correlation
80365978.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
80365978.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
80365978.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
80365978.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
80365978.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
80365978.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
80365978.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
80365978.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
80365978.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
80365978.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
97615647.0,2024-08-01,,,,0.0058,,,,Energy & Resources,,,,0.2097916281094278,,,
80464926.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
97530927.0,2024-08-01,,,,0.0058,,,,Financial Services,,,,0.2097916281094278,,,
96190495.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
96190495.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
92521701.0,2024-08-01,,,,0.0058,,,,Financial Services,,,,0.2097916281094278,,,
96171913.0,2024-08-01,,,,0.0058,,,,Financial Services,,,,0.2097916281094278,,,
82435310.0,2024-08-01,,,,0.0005,,,,Energy & Resources,,,,0.2370371894433999,,,
91931496.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
91931496.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
91931496.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
91931496.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
91931496.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
91931496.0,2024-08-01,,,,0.0005,,,,Financial Services,,,,0.2370371894433999,,,
82073351.0,2024-08-01,,,,0.0005,,,,Energy & Resources,,,,0.2370371894433999,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
80370892.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics,,,,0.2097916281094278,,,
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics,,,,0.2097916281094278,,,
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics,,,,0.2097916281094278,,,
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics,,,,0.2097916281094278,,,
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics,,,,0.2097916281094278,,,
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics,,,,0.2097916281094278,,,
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics,,,,0.2097916281094278,,,
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics,,,,0.2097916281094278,,,
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics,,,,0.2097916281094278,,,
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics,,,,0.2097916281094278,,,
94273091.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics,,,,0.2097916281094278,,,
96711015.0,2024-08-01,,,,0.0202,,,,Industrial & Manufacturing,,,,0.1637062775485828,,,
96157561.0,2024-08-01,,,,0.0005,,,,Transportation & Logistics,,,,0.2370371894433999,,,
80104705.0,2024-08-01,,,,0.0005,,,,Unassigned,,,,0.2370371894433999,,,
97271924.0,2024-08-01,,,,0.0202,,,,Energy & Resources,,,,0.1637062775485828,,,
96285811.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
96285811.0,2024-08-01,,,,0.0012,,,,Energy & Resources,,,,0.23301174403010982,,,
93368494.0,2024-08-01,,,,0.0202,,,,Professional Services & Consulting,,,,0.1637062775485828,,,
97169268.0,2024-08-01,,,,0.0058,,,,Transportation & Logistics,,,,0.2097916281094278,,,
97628007.0,2024-08-01,,,,0.0012,,,,Financial Services,,,,0.23301174403010982,,,
97628007.0,2024-08-01,,,,0.0012,,,,Financial Services,,,,0.23301174403010982,,,
96923364.0,2024-08-01,,,,0.0058,,,,Utilities,,,,0.2097916281094278,,,
94395491.0,2024-08-01,,,,0.0012,,,,Financial Services,,,,0.23301174403010982,,,
94395491.0,2024-08-01,,,,0.0012,,,,Financial Services,,,,0.23301174403010982,,,
97131626.0,2024-08-01,,,,0.0202,,,,Consumer Goods & Retail,,,,0.1637062775485828,,,
97131629.0,2024-08-01,,,,0.0202,,,,Consumer Goods & Retail,,,,0.1637062775485828,,,
97627169.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting,,,,0.2097916281094278,,,
97627169.0,2024-08-01,,,,0.0058,,,,Professional Services & Consulting,,,,0.2097916281094278,,,
